chlor_8day_fn,range_end,Julian_DateTxt
2013089,2013096,2008181
2013097,2013104,2008181
2013105,2013112,2008184
2013113,2013120,2008184
2013121,2013128,2008184
2013129,2013136,2008184
2013129,2013136,2008184
2013137,2013144,2008184
2013145,2013152,2008184
2013153,2013160,2008184
2013161,2013168,2008184
2013169,2013176,2008184
2013177,2013184,2008184
2013185,2013192,2008184
2013193,2013200,2008184
2013201,2013208,2008184
2013209,2013216,2008184
2013217,2013224,2008184
2013225,2013232,2008184
2013233,2013240,2008184
2013241,2013248,2008184
2013249,2013256,2008184
2013257,2013264,2008184
2013265,2013272,2008184
2013273,2013280,2008184
2013281,2013288,2008184
2013289,2013296,2008184
2013297,2013304,2008184
2013305,2013312,2008184
2013313,2013320,2008184
2013321,2013328,2008184
2013329,2013336,2008184
2013337,2013344,2008184
2013345,2013352,2008184
2013353,2013360,2008184
2013361,2013368,2008184
2014001,2014008,2008184
2014009,2014016,2008184
2014017,2014024,2008184
2014025,2014032,2008184
2014033,2014040,2008184
2014041,2014048,2008184
2014049,2014056,2008184
2014057,2014064,2008184
2014065,2014072,2008184
2014073,2014080,2008184
2014081,2014088,2008184
2014089,2014096,2008184
2014097,2014104,2008184
2014105,2014112,2008184
2014113,2014120,2008184
2014121,2014128,2008184
2014129,2014136,2008184
2014137,2014144,2008184
2014145,2014152,2008184
2014153,2014160,2008184
2014161,2014168,2008184
2014169,2014176,2008184
2014177,2014184,2008184
2014185,2014192,2008184
2014193,2014200,2008184
2014201,2014208,2008184
2014209,2014216,2008184
2014217,2014224,2008184
2014225,2014232,2008184
2014233,2014240,2008184
2014241,2014248,2008184
2014249,2014256,2008184
2014257,2014264,2008184
2014265,2014272,2008184
,,2008184
,,2008184
,,2008186
,,2008186
,,2008186
,,2008186
,,2008186
,,2008186
,,2008186
,,2008186
,,2008188
,,2008188
,,2008188
,,2008188
,,2008188
,,2008188
,,2008188
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008189
,,2008191
,,2008191
,,2008191
,,2008191
,,2008191
,,2008191
,,2008191
,,2008193
,,2008193
,,2008194
,,2008194
,,2008194
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
,,2008195
